number,season,episode,airdate,title,link
1,1,1,08 Sep 66,"The Man Trap","https://www.tvmaze.com/episodes/44377/star-trek-1x01-the-man-trap"
2,1,2,15 Sep 66,"Charlie X","https://www.tvmaze.com/episodes/44378/star-trek-1x02-charlie-x"
3,1,3,22 Sep 66,"Where No Man Has Gone Before","https://www.tvmaze.com/episodes/44379/star-trek-1x03-where-no-man-has-gone-before"
4,1,4,29 Sep 66,"The Naked Time","https://www.tvmaze.com/episodes/44380/star-trek-1x04-the-naked-time"
5,1,5,06 Oct 66,"The Enemy Within","https://www.tvmaze.com/episodes/44381/star-trek-1x05-the-enemy-within"
6,1,6,13 Oct 66,"Mudd's Women","https://www.tvmaze.com/episodes/44382/star-trek-1x06-mudds-women"
7,1,7,20 Oct 66,"What Are Little Girls Made of?","https://www.tvmaze.com/episodes/44383/star-trek-1x07-what-are-little-girls-made-of"
8,1,8,27 Oct 66,"Miri","https://www.tvmaze.com/episodes/44384/star-trek-1x08-miri"
9,1,9,03 Nov 66,"Dagger of the Mind","https://www.tvmaze.com/episodes/44385/star-trek-1x09-dagger-of-the-mind"
10,1,10,10 Nov 66,"The Corbomite Maneuver","https://www.tvmaze.com/episodes/44386/star-trek-1x10-the-corbomite-maneuver"
11,1,11,17 Nov 66,"The Menagerie Part I","https://www.tvmaze.com/episodes/44387/star-trek-1x11-the-menagerie-part-i"
12,1,12,24 Nov 66,"The Menagerie Part II","https://www.tvmaze.com/episodes/44388/star-trek-1x12-the-menagerie-part-ii"
13,1,13,08 Dec 66,"The Conscience of the King","https://www.tvmaze.com/episodes/44389/star-trek-1x13-the-conscience-of-the-king"
14,1,14,15 Dec 66,"Balance of Terror","https://www.tvmaze.com/episodes/44390/star-trek-1x14-balance-of-terror"
15,1,15,29 Dec 66,"Shore Leave","https://www.tvmaze.com/episodes/44391/star-trek-1x15-shore-leave"
16,1,16,05 Jan 67,"The Galileo Seven","https://www.tvmaze.com/episodes/44392/star-trek-1x16-the-galileo-seven"
17,1,17,12 Jan 67,"The Squire of Gothos","https://www.tvmaze.com/episodes/44393/star-trek-1x17-the-squire-of-gothos"
18,1,18,19 Jan 67,"Arena","https://www.tvmaze.com/episodes/44394/star-trek-1x18-arena"
19,1,19,26 Jan 67,"Tomorrow Is Yesterday","https://www.tvmaze.com/episodes/44395/star-trek-1x19-tomorrow-is-yesterday"
20,1,20,02 Feb 67,"Court Martial","https://www.tvmaze.com/episodes/44396/star-trek-1x20-court-martial"
21,1,21,09 Feb 67,"The Return of the Archons","https://www.tvmaze.com/episodes/44397/star-trek-1x21-the-return-of-the-archons"
22,1,22,16 Feb 67,"Space Seed","https://www.tvmaze.com/episodes/44398/star-trek-1x22-space-seed"
23,1,23,23 Feb 67,"A Taste of Armageddon","https://www.tvmaze.com/episodes/44399/star-trek-1x23-a-taste-of-armageddon"
24,1,24,02 Mar 67,"This Side of Paradise","https://www.tvmaze.com/episodes/44400/star-trek-1x24-this-side-of-paradise"
25,1,25,09 Mar 67,"The Devil in the Dark","https://www.tvmaze.com/episodes/44401/star-trek-1x25-the-devil-in-the-dark"
26,1,26,23 Mar 67,"Errand of Mercy","https://www.tvmaze.com/episodes/44402/star-trek-1x26-errand-of-mercy"
27,1,27,30 Mar 67,"The Alternative Factor","https://www.tvmaze.com/episodes/44403/star-trek-1x27-the-alternative-factor"
28,1,28,06 Apr 67,"The City on the Edge of Forever","https://www.tvmaze.com/episodes/44404/star-trek-1x28-the-city-on-the-edge-of-forever"
29,1,29,13 Apr 67,"Operation: Annihilate!","https://www.tvmaze.com/episodes/44405/star-trek-1x29-operation-annihilate"
30,2,1,15 Sep 67,"Amok Time","https://www.tvmaze.com/episodes/44406/star-trek-2x01-amok-time"
31,2,2,22 Sep 67,"Who Mourns for Adonais?","https://www.tvmaze.com/episodes/44407/star-trek-2x02-who-mourns-for-adonais"
32,2,3,29 Sep 67,"The Changeling","https://www.tvmaze.com/episodes/44408/star-trek-2x03-the-changeling"
33,2,4,06 Oct 67,"Mirror, Mirror","https://www.tvmaze.com/episodes/44409/star-trek-2x04-mirror-mirror"
34,2,5,13 Oct 67,"The Apple","https://www.tvmaze.com/episodes/44410/star-trek-2x05-the-apple"
35,2,6,20 Oct 67,"The Doomsday Machine","https://www.tvmaze.com/episodes/44411/star-trek-2x06-the-doomsday-machine"
36,2,7,27 Oct 67,"Catspaw","https://www.tvmaze.com/episodes/44412/star-trek-2x07-catspaw"
37,2,8,03 Nov 67,"I, Mudd","https://www.tvmaze.com/episodes/44413/star-trek-2x08-i-mudd"
38,2,9,10 Nov 67,"Metamorphosis","https://www.tvmaze.com/episodes/44414/star-trek-2x09-metamorphosis"
39,2,10,17 Nov 67,"Journey to Babel","https://www.tvmaze.com/episodes/44415/star-trek-2x10-journey-to-babel"
40,2,11,01 Dec 67,"Friday's Child","https://www.tvmaze.com/episodes/44416/star-trek-2x11-fridays-child"
41,2,12,08 Dec 67,"The Deadly Years","https://www.tvmaze.com/episodes/44417/star-trek-2x12-the-deadly-years"
42,2,13,15 Dec 67,"Obsession","https://www.tvmaze.com/episodes/44418/star-trek-2x13-obsession"
43,2,14,22 Dec 67,"Wolf in the Fold","https://www.tvmaze.com/episodes/44419/star-trek-2x14-wolf-in-the-fold"
44,2,15,29 Dec 67,"The Trouble with Tribbles","https://www.tvmaze.com/episodes/44420/star-trek-2x15-the-trouble-with-tribbles"
45,2,16,05 Jan 68,"The Gamesters of Triskelion","https://www.tvmaze.com/episodes/44421/star-trek-2x16-the-gamesters-of-triskelion"
46,2,17,12 Jan 68,"A Piece of the Action","https://www.tvmaze.com/episodes/44422/star-trek-2x17-a-piece-of-the-action"
47,2,18,19 Jan 68,"The Immunity Syndrome","https://www.tvmaze.com/episodes/44423/star-trek-2x18-the-immunity-syndrome"
48,2,19,02 Feb 68,"A Private Little War","https://www.tvmaze.com/episodes/44424/star-trek-2x19-a-private-little-war"
49,2,20,09 Feb 68,"Return to Tomorrow","https://www.tvmaze.com/episodes/44425/star-trek-2x20-return-to-tomorrow"
50,2,21,16 Feb 68,"Patterns of Force","https://www.tvmaze.com/episodes/44426/star-trek-2x21-patterns-of-force"
51,2,22,23 Feb 68,"By Any Other Name","https://www.tvmaze.com/episodes/44427/star-trek-2x22-by-any-other-name"
52,2,23,01 Mar 68,"The Omega Glory","https://www.tvmaze.com/episodes/44428/star-trek-2x23-the-omega-glory"
53,2,24,08 Mar 68,"The Ultimate Computer","https://www.tvmaze.com/episodes/44429/star-trek-2x24-the-ultimate-computer"
54,2,25,15 Mar 68,"Bread and Circuses","https://www.tvmaze.com/episodes/44430/star-trek-2x25-bread-and-circuses"
55,2,26,29 Mar 68,"Assignment: Earth","https://www.tvmaze.com/episodes/44431/star-trek-2x26-assignment-earth"
56,3,1,20 Sep 68,"Spock's Brain","https://www.tvmaze.com/episodes/44432/star-trek-3x01-spocks-brain"
57,3,2,27 Sep 68,"The Enterprise Incident","https://www.tvmaze.com/episodes/44433/star-trek-3x02-the-enterprise-incident"
58,3,3,04 Oct 68,"The Paradise Syndrome","https://www.tvmaze.com/episodes/44434/star-trek-3x03-the-paradise-syndrome"
59,3,4,11 Oct 68,"And the Children Shall Lead","https://www.tvmaze.com/episodes/44435/star-trek-3x04-and-the-children-shall-lead"
60,3,5,18 Oct 68,"Is There in Truth No Beauty?","https://www.tvmaze.com/episodes/44436/star-trek-3x05-is-there-in-truth-no-beauty"
61,3,6,25 Oct 68,"Spectre of the Gun","https://www.tvmaze.com/episodes/44437/star-trek-3x06-spectre-of-the-gun"
62,3,7,01 Nov 68,"Day of the Dove","https://www.tvmaze.com/episodes/44438/star-trek-3x07-day-of-the-dove"
63,3,8,08 Nov 68,"For the World is Hollow and I Have Touched the Sky","https://www.tvmaze.com/episodes/44439/star-trek-3x08-for-the-world-is-hollow-and-i-have-touched-the-sky"
64,3,9,15 Nov 68,"The Tholian Web","https://www.tvmaze.com/episodes/44440/star-trek-3x09-the-tholian-web"
65,3,10,22 Nov 68,"Plato's Stepchildren","https://www.tvmaze.com/episodes/44441/star-trek-3x10-platos-stepchildren"
66,3,11,29 Nov 68,"Wink of an Eye","https://www.tvmaze.com/episodes/44442/star-trek-3x11-wink-of-an-eye"
67,3,12,06 Dec 68,"The Empath","https://www.tvmaze.com/episodes/44443/star-trek-3x12-the-empath"
68,3,13,20 Dec 68,"Elaan of Troyius","https://www.tvmaze.com/episodes/44444/star-trek-3x13-elaan-of-troyius"
69,3,14,03 Jan 69,"Whom Gods Destroy","https://www.tvmaze.com/episodes/44445/star-trek-3x14-whom-gods-destroy"
70,3,15,10 Jan 69,"Let That Be Your Last Battlefield","https://www.tvmaze.com/episodes/44446/star-trek-3x15-let-that-be-your-last-battlefield"
71,3,16,17 Jan 69,"The Mark of Gideon","https://www.tvmaze.com/episodes/44447/star-trek-3x16-the-mark-of-gideon"
72,3,17,24 Jan 69,"That Which Survives","https://www.tvmaze.com/episodes/44448/star-trek-3x17-that-which-survives"
73,3,18,31 Jan 69,"The Lights of Zetar","https://www.tvmaze.com/episodes/44449/star-trek-3x18-the-lights-of-zetar"
74,3,19,14 Feb 69,"Requiem for Methuselah","https://www.tvmaze.com/episodes/44450/star-trek-3x19-requiem-for-methuselah"
75,3,20,21 Feb 69,"The Way to Eden","https://www.tvmaze.com/episodes/44451/star-trek-3x20-the-way-to-eden"
76,3,21,28 Feb 69,"The Cloud Minders","https://www.tvmaze.com/episodes/44452/star-trek-3x21-the-cloud-minders"
77,3,22,07 Mar 69,"The Savage Curtain","https://www.tvmaze.com/episodes/44453/star-trek-3x22-the-savage-curtain"
78,3,23,14 Mar 69,"All Our Yesterdays","https://www.tvmaze.com/episodes/44454/star-trek-3x23-all-our-yesterdays"
79,3,24,03 Jun 69,"Turnabout Intruder","https://www.tvmaze.com/episodes/44455/star-trek-3x24-turnabout-intruder"
S01,1,0,N/A,"The Cage (Pilot)","https://www.tvmaze.com/episodes/44376/star-trek-s01-special-the-cage-pilot"